127.0.0.1, 2013-02-07 15:01:01, GET, /, HTTP/1.1, 303, 0.001618
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/default/index, HTTP/1.1, 200, 1.136201
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001093
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000695
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000703
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000697
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000670
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000775
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000735
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000580
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000531
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000506
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000639
127.0.0.1, 2013-02-07 15:01:02, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000589
127.0.0.1, 2013-02-07 15:01:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000675
127.0.0.1, 2013-02-07 15:01:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000731
127.0.0.1, 2013-02-07 15:01:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000685
127.0.0.1, 2013-02-07 15:01:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000706
127.0.0.1, 2013-02-07 15:01:11, GET, /admin/default/index, HTTP/1.1, 200, 0.140425
127.0.0.1, 2013-02-07 15:01:11, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000789
127.0.0.1, 2013-02-07 15:01:11, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000677
127.0.0.1, 2013-02-07 15:01:11, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000720
127.0.0.1, 2013-02-07 15:01:11, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000681
127.0.0.1, 2013-02-07 15:01:11, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.004077
127.0.0.1, 2013-02-07 15:01:11, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000685
127.0.0.1, 2013-02-07 15:01:11, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000584
127.0.0.1, 2013-02-07 15:01:11, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.005374
127.0.0.1, 2013-02-07 15:01:11, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000723
127.0.0.1, 2013-02-07 15:01:11, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000620
